participant_id,condition
5688b9af-62e1-4534-9407-2b862c0c7618,A
cfe83d18-9f7f-4ada-83f1-f6ef3a39fc02,B
a290ef76-4d07-4105-8fd2-1d343f6cf6e6,B
06535f43-10b3-42f5-9a44-42cd78ab9f34,B
07808d8e-fcec-45f8-913a-26b228421b6c,B
12f4e64f-df2b-4bd5-8274-dc61d503ee54,A
02f45c63-4f56-41e8-ac02-56018ac31122,95_point_interval
4c46eb14-91cc-4784-800f-e67d8b161827,95_interval
396e1f14-ed72-4816-a5b3-c94dde24b051,80_point_interval
f59eb4b6-d643-4a8a-b5db-056192450cf4,80_interval
eb02446d-4e67-4e83-953f-a080deccbbb4,95_point_interval
c1808e36-088f-4474-924c-eca313a555fd,80_point_interval
190ce183-b8c7-4734-9fd4-6bcefc304b9c,80_point_interval
9891ebc7-f9af-48a3-82fc-1f6afd0507f3,80_point_interval
74658ae5-86e7-4039-af8e-558a97493fe5,95_interval
4190a3b7-21b5-4e8b-ae44-346571910446,95_point_interval
79a345be-6265-4468-a3a1-cb857b9cd33e,80_interval
447e0f15-385a-4bfe-82ff-bb6f1f2ad14e,95_interval
34c34d4c-99c4-467a-b52c-75d7588baad2,80_interval
0b2e76b6-57a8-4e5a-b63a-4e4190ab0ba3,95_interval
aa572e61-65ef-4c3f-a4bf-36f6c7af626a,80_interval
3bf9e298-c786-40e8-aebe-99def1e74d75,80_point_interval
65b9ad3d-662a-40cb-8866-304183a3be48,80_interval
ea8f2230-ff7f-484e-bdad-3a7e5978b12a,95_point_interval
f655edca-78bd-4eed-9648-f89611613b02,95_interval
99931b74-d2f6-4c13-ae93-6ffd5c1e8341,control
2bf17e25-0218-46da-b6ec-6868d7df700f,control
a7af9b62-7209-4808-83ca-c90a93068b15,80_interval
5346f8d4-7003-456c-b746-f8a401144a7f,control
76cc1224-cbd8-42ce-bb48-36998ec37e6e,80_point_interval
3ee83fb3-54f4-4a6a-8b71-459838dccbad,80_point_interval
53a5b4eb-12c1-4e3d-8a18-04c176c3dbd3,control
4f29c6e2-f8e9-4b91-853b-3307ccb715ac,80_point_interval
cefb7d1e-4b83-4b6f-b364-10392ea78477,control
c92c90f5-fc7f-4350-ba3b-edba07b4e990,80_interval
f6a5eabb-3613-4a3e-a11b-70e9355db7ce,control
dc171b51-43b6-45b1-9911-f4dedd83bc37,95_point_interval
c302e541-1ffd-43db-ba2f-cb9ae8ab99d7,95_point_interval
75ca40f9-db81-42d0-9e21-f3ba3920765e,95_interval
76866f02-5d6f-4533-9f9e-ed85fadc1ee8,control
32655c99-34fa-4d8d-89a6-40228c8abc7f,control
30513f4e-3730-4e78-be87-324548bf0734,control
02b25953-4d05-400b-afd7-1b065e0b5d0c,control
091a70a5-5a7a-48e6-a7f6-50fe5ff2388f,control
20d80f26-36aa-46e0-af19-b8209866983a,control
a3c0580c-c43e-4104-8dc8-dbd880b7c43d,control
978dcf02-0796-41c6-8c35-b465290deef3,control
32749c2e-3925-4d52-8c11-be0ba3dc7970,control
d46ca840-b214-4991-8823-6cb13ff25b3a,control
b0683a85-28ea-4c1e-9336-bfb6e1d9f664,control
ffb700c8-f9bb-451d-9820-83e6a2592ff3,control
87430d24-c1d9-466b-b4b6-a83250e10e60,control
efeb5083-4a46-49b5-908b-e4539063f6ea,control
a9dad49b-ee8a-42ab-a460-4f249cb94832,control
dd64a770-673c-44c3-8fd7-78db918be2d6,control
9d1e38af-816c-4b90-9471-7faa148b2d3f,control
29fd8844-3ba0-4ec1-affb-3a4485914144,control
6b56c377-dcd3-4b63-9f16-9a3cd472aeb7,control
96d9eab1-cf9b-4cc6-8b5e-4acb249d6a34,control
3a29c82f-7545-4594-a728-b061d53e66e6,95_point_interval
